"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL5079311";"";"None";"404.40";"0";"3.53";"194";"Cc1cc(C(=O)Nc2cccc([C@H](C)Cc3nncn3C)c2)nc(C(F)(F)F)n1";"Kd";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"17.31";"0.33";"3.47";"8.18";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5087087";"";"None";"502.50";"1";"3.03";"220";"CC(Cc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N3CC[C@H](O)C3)cc(C(F)(F)F)n2)c1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5091435";"";"None";"443.51";"0";"2.79";"236";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N3CC[C@H](C#N)C3)ccn2)c1";"Kd";"'='";"1001.0";"nM";"6.00";"";"";"UO_0000065";"13.53";"0.25";"3.21";"5.14";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5080292";"";"None";"289.36";"0";"2.70";"1";"Cc1nc2cc(C(C)Sc3nncn3C)cc(N)c2o1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"19.09";"0.38";"2.82";"6.67";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5083391";"";"None";"407.42";"0";"4.33";"57b";"C[C@@H](Sc1nncn1C)c1cccc(NC(=O)c2cccc(C(F)(F)F)n2)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"13.56";"0.27";"1.19";"7.60";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5092537";"";"None";"422.43";"0";"4.82";"79";"C[C@H](Sc1nncn1C)c1cccc(NC(=O)c2cccc(OC(F)(F)F)c2)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"13.07";"0.26";"0.70";"8.00";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5092035";"";"None";"424.41";"0";"3.61";"122";"C[C@H](Sc1nncn1C)c1ccnc(NC(=O)c2cccc(OC(F)(F)F)n2)c1";"Kd";"'='";"1001.0";"nM";"6.00";"";"";"UO_0000065";"14.14";"0.28";"2.39";"6.33";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5094217";"";"None";"418.44";"0";"4.85";"166a";"C[C@H](Sc1nncn1C)c1cccc(N2Cc3c(cccc3C(F)(F)F)C2=O)c1";"IC50";"'='";"301.0";"nM";"6.52";"";"";"UO_0000065";"15.59";"0.31";"1.67";"12.78";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5091161";"";"None";"436.43";"0";"4.99";"168";"CC(Sc1nncn1C)c1cc(F)cc(N2Cc3c(cccc3C(F)(F)F)C2=O)c1";"Kd";"'='";"1001.0";"nM";"6.00";"";"";"UO_0000065";"13.75";"0.27";"1.01";"11.76";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5073611";"";"None";"436.43";"0";"4.99";"169";"C[C@H](Sc1nncn1C)c1ccc(F)c(N2Cc3c(cccc3C(F)(F)F)C2=O)c1";"Kd";"'='";"1001.0";"nM";"6.00";"";"";"UO_0000065";"13.75";"0.27";"1.01";"11.76";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5082805";"";"None";"447.54";"0";"2.37";"229";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N3CC[C@](C)(N)C3)ccn2)c1";"Kd";"'='";"1001.0";"nM";"6.00";"";"";"UO_0000065";"13.41";"0.25";"3.63";"5.04";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5083890";"";"None";"447.54";"0";"2.24";"249";"CN[C@@H]1CCN(C(=O)c2ccnc(C(=O)Nc3cccc([C@H](C)Cc4nncn4C)c3)c2)C1";"Kd";"'='";"1001.0";"nM";"6.00";"";"";"UO_0000065";"13.41";"0.25";"3.76";"5.71";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5069653";"";"None";"451.50";"0";"2.76";"254";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cc(C(=O)N3CC[C@H](O)C3)ccc2F)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"12.23";"0.23";"2.76";"5.50";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5071331";"";"None";"400.40";"0";"4.34";"263";"C[C@H](Cc1ncn(C)n1)c1cccc(N2Cc3c(cccc3C(F)(F)F)C2=O)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"13.79";"0.26";"1.18";"10.82";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5086904";"";"None";"372.43";"0";"3.36";"303";"C[C@H](Cc1nncn1C)c1ccnc(NC(=O)c2ccc3ccccc3n2)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"14.83";"0.27";"2.16";"6.45";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5073017";"";"None";"542.07";"1";"2.92";"311";"C[C@H](Sc1nncn1C)c1cccc(NC(=O)c2cc3cc(OCC(=O)NCCN)ccc3cn2)c1.Cl";"Kd";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"13.84";"0.27";"4.08";"5.11";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5083648";"";"None";"377.49";"0";"4.11";"321";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2cccc(C(C)(C)C)n2)c1";"Kd";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"18.54";"0.34";"2.89";"9.63";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5085450";"";"None";"458.48";"0";"4.57";"374";"C[C@H](Cc1nncn1C)c1cccc(N2Cc3c(cc(C(C)(C)O)cc3C(F)(F)F)C2=O)c1";"Kd";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"15.27";"0.29";"2.43";"9.82";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5094045";"";"None";"513.56";"1";"4.30";"398";"C[C@H](Cc1nncn1C)c1cccc(N2Cc3c(cc(CN4CC[C@](C)(O)C4)cc3C(F)(F)F)C2=O)c1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5074919";"";"None";"501.53";"1";"4.88";"400";"C[C@H](Cc1nncn1C)c1cccc(N2Cc3c(cc(CN4CC[C@@H](F)C4)cc3C(F)(F)F)C2=O)c1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5079603";"";"None";"454.50";"1";"5.39";"477";"Cn1cnnc1CC(C)(C)c1cccc(N2Cc3c(cc(C4CC4)cc3C(F)(F)F)C2=O)c1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5084463";"";"None";"471.53";"0";"1.89";"506";"Cn1cnnc1CC1(c2cccc(NC(=O)c3cc(Cn4ccnn4)nc(C4CC4)n3)c2)COC1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5079122";"";"None";"501.61";"1";"3.91";"554";"Cn1cnnc1CC1(c2cccc(N3Cc4c(cc(CN5CC[C@H](F)C5)cc4C4CC4)C3=O)c2)COC1";"Kd";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5091555";"";"None";"436.43";"0";"4.99";"168a";"C[C@H](Sc1nncn1C)c1cc(F)cc(N2Cc3c(cccc3C(F)(F)F)C2=O)c1";"IC50";"'='";"301.0";"nM";"6.52";"";"";"UO_0000065";"14.94";"0.30";"1.53";"12.78";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5093119";"";"None";"434.45";"0";"3.82";"175";"CC(Sc1nncn1C)c1cc(N)nc(N2Cc3c(cccc3C(F)(F)F)C2=O)c1";"Kd";"'='";"3001.0";"nM";"5.52";"";"";"UO_0000065";"12.71";"0.25";"1.70";"6.14";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
"CHEMBL5093648";"";"None";"350.43";"0";"2.63";"313";"C[C@H](Cc1nncn1C)c1cccc(NC(=O)c2n[nH]c3c2CCC3)c1";"IC50";"'='";"301.0";"nM";"6.52";"";"";"UO_0000065";"18.61";"0.34";"3.89";"7.37";"0";"CHEMBL5051162";"Binding affinity towards N-terminal biotinylated Avi-tagged human CBL-B (36 to 427 residues) measured by surface plasmon resonance assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4879459";"E3 ubiquitin-protein ligase CBL-B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5050844";"38";"Patent Bioactivity Data";"";"2019";"None";"";"INHIBITOR";""
